rel_id,start_id,end_id,start_label,end_label,relationship_type,alt_system,driver,prob_5y,note,source_ref_id,evidence_type,external_source_url,evidence_date,last_reviewed,confidence_score,confidence_band
FSS_Fe_FP_01,Fe_FP_01,ALT_SYS_0001,FunctionPosition,AltSystemOption,SUB_SYSTEM,无,NONE,0.01,,Fe_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Fe_FP_02,Fe_FP_02,ALT_SYS_0002,FunctionPosition,AltSystemOption,SUB_SYSTEM,超导电感,WEAK,0.02,,Fe_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Fe_FP_03,Fe_FP_03,ALT_SYS_0003,FunctionPosition,AltSystemOption,SUB_SYSTEM,钠电池,MED,0.15,低端场景分流,Fe_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Fe_FP_04,Fe_FP_04,ALT_SYS_0004,FunctionPosition,AltSystemOption,SUB_SYSTEM,无氨替代肥料,NONE,0.0,,Fe_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Al_FP_01,Al_FP_01,ALT_SYS_0005,FunctionPosition,AltSystemOption,SUB_SYSTEM,结构拓扑优化（同材料减重）,MED,0.3,,Al_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Al_FP_02,Al_FP_02,ALT_SYS_0006,FunctionPosition,AltSystemOption,SUB_SYSTEM,无线电力传输,WEAK,0.02,,Al_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Al_FP_03,Al_FP_03,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,Al_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Al_FP_04,Al_FP_04,ALT_SYS_0008,FunctionPosition,AltSystemOption,SUB_SYSTEM,均相催化（无载体）,WEAK,0.05,,Al_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_C_FP_01,C_FP_01,ALT_SYS_0009,FunctionPosition,AltSystemOption,SUB_SYSTEM,拓扑优化金属结构,WEAK,0.05,,C_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_C_FP_02,C_FP_02,ALT_SYS_0010,FunctionPosition,AltSystemOption,SUB_SYSTEM,钠电池（硬碳负极）,MED,0.2,,C_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_C_FP_03,C_FP_03,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,C_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_C_FP_04,C_FP_04,ALT_SYS_0011,FunctionPosition,AltSystemOption,SUB_SYSTEM,废钢+电弧炉（无高炉）,STRONG,0.3,,C_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_H_FP_01,H_FP_01,ALT_SYS_0012,FunctionPosition,AltSystemOption,SUB_SYSTEM,架线/电气化（铁路）,MED,0.2,,H_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_H_FP_02,H_FP_02,ALT_SYS_0013,FunctionPosition,AltSystemOption,SUB_SYSTEM,减少氮肥用途（农业精准施肥）,WEAK,0.05,,H_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_H_FP_03,H_FP_03,ALT_SYS_0014,FunctionPosition,AltSystemOption,SUB_SYSTEM,废钢+EAF（间接绿钢）,STRONG,0.4,,H_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Ti_FP_01,Ti_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,Ti_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Zr_FP_01,Zr_FP_01,ALT_SYS_0015,FunctionPosition,AltSystemOption,SUB_SYSTEM,熔盐堆（无固体包壳）,WEAK,0.02,,Zr_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Hf_FP_01,Hf_FP_01,ALT_SYS_0016,FunctionPosition,AltSystemOption,SUB_SYSTEM,碳纳米管FET（无高k需求）,WEAK,0.01,,Hf_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Hf_FP_02,Hf_FP_02,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,Hf_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_W_FP_01,W_FP_01,ALT_SYS_0017,FunctionPosition,AltSystemOption,SUB_SYSTEM,增材制造减少切削量,MED,0.2,,W_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Mo_FP_01,Mo_FP_01,ALT_SYS_0018,FunctionPosition,AltSystemOption,SUB_SYSTEM,无（发动机热效率依赖高温）,NONE,0.0,,Mo_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_V_FP_01,V_FP_01,ALT_SYS_0019,FunctionPosition,AltSystemOption,SUB_SYSTEM,抽水蓄能（超大规模）,STRONG,0.3,,V_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Nb_FP_01,Nb_FP_01,ALT_SYS_0020,FunctionPosition,AltSystemOption,SUB_SYSTEM,减少用钢量（设计优化）,WEAK,0.1,,Nb_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Ta_FP_01,Ta_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,MED,0.2,,Ta_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_PGM_FP_01,PGM_FP_01,ALT_SYS_0021,FunctionPosition,AltSystemOption,SUB_SYSTEM,EV替代燃油车消除催化需求,STRONG,0.3,,PGM_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_PGM_FP_02,PGM_FP_02,ALT_SYS_0022,FunctionPosition,AltSystemOption,SUB_SYSTEM,AEM（阴离子交换膜）燃料电池（可用非贵金属）,MED,0.15,,PGM_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_PGM_FP_03,PGM_FP_03,ALT_SYS_0023,FunctionPosition,AltSystemOption,SUB_SYSTEM,AEM电解（非贵金属OER）,STRONG,0.3,,PGM_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Ag_FP_01,Ag_FP_01,ALT_SYS_0024,FunctionPosition,AltSystemOption,SUB_SYSTEM,无需正面金属栅线的全背接触电池（IBC）,MED,0.2,,Ag_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Ag_FP_02,Ag_FP_02,ALT_SYS_0001,FunctionPosition,AltSystemOption,SUB_SYSTEM,无,NONE,0.05,,Ag_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Au_FP_01,Au_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,STRONG,0.5,,Au_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Au_FP_02,Au_FP_02,ALT_SYS_0025,FunctionPosition,AltSystemOption,SUB_SYSTEM,央行数字货币（CBDC）替代黄金储备,WEAK,0.05,,Au_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_P_FP_01,P_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,MED,0.1,,P_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_P_FP_02,P_FP_02,ALT_SYS_0026,FunctionPosition,AltSystemOption,SUB_SYSTEM,精准施肥减少磷用量,STRONG,0.3,,P_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_F_FP_01,F_FP_01,ALT_SYS_0001,FunctionPosition,AltSystemOption,SUB_SYSTEM,无,NONE,0.0,,F_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_F_FP_02,F_FP_02,ALT_SYS_0027,FunctionPosition,AltSystemOption,SUB_SYSTEM,PFAS禁令推动替代（强制监管）,STRONG,0.4,,F_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Zn_FP_01,Zn_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.02,,Zn_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Sn_FP_01,Sn_FP_01,ALT_SYS_0028,FunctionPosition,AltSystemOption,SUB_SYSTEM,无焊连接（弹簧触点/压接）,WEAK,0.05,,Sn_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Pb_FP_01,Pb_FP_01,ALT_SYS_0029,FunctionPosition,AltSystemOption,SUB_SYSTEM,12V→48V电气化（消除铅酸主用途）,STRONG,0.4,,Pb_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Mg_FP_01,Mg_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.02,,Mg_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_Ca_FP_01,Ca_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,Ca_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_O_FP_01,O_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,O_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_N_FP_01,N_FP_01,ALT_SYS_0007,FunctionPosition,AltSystemOption,SUB_SYSTEM,N/A,NONE,0.0,,N_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSS_V23_001,U_Th_FP_01,ALT_SYS_0030,FunctionPosition,AltSystemOption,SUB_SYSTEM,聚变,WEAK,0.05,终极替代，50年+,FN_UTH_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_002,U_Th_FP_02,ALT_SYS_0031,FunctionPosition,AltSystemOption,SUB_SYSTEM,大型核电,MED,0.6,已验证大机组路线,FN_UTH_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_003,U_Th_FP_02,ALT_SYS_0032,FunctionPosition,AltSystemOption,SUB_SYSTEM,天然气+储能,MED,0.4,碳排放更高，更多是竞争而非等价替代,FN_UTH_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_004,REE_FP_03,ALT_SYS_0033,FunctionPosition,AltSystemOption,SUB_SYSTEM,Li-ion,STRONG,0.7,NiMH 被 Li 电逐步替代,FN_REE_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_005,Li_Na_FP_03,ALT_SYS_0034,FunctionPosition,AltSystemOption,SUB_SYSTEM,Li电,STRONG,0.8,高能量密度路线,FN_LINA_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_006,Li_Na_FP_03,ALT_SYS_0035,FunctionPosition,AltSystemOption,SUB_SYSTEM,铅酸,MED,0.7,极低成本场景,FN_LINA_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_007,Li_Na_FP_03,ALT_SYS_0036,FunctionPosition,AltSystemOption,SUB_SYSTEM,液流电池,MED,0.5,大规模固定储能,FN_LINA_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_008,Cu_FP_01,ALT_SYS_0037,FunctionPosition,AltSystemOption,SUB_SYSTEM,超导体,WEAK,0.1,特殊场景电流传输,FN_CU_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_009,Ni_Co_Mn_FP_01,ALT_SYS_0038,FunctionPosition,AltSystemOption,SUB_SYSTEM,全固态电池,MED,0.3,将改变正极配方逻辑,FN_NICOMN_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSS_V23_010,Si_FP_01,ALT_SYS_0039,FunctionPosition,AltSystemOption,SUB_SYSTEM,量子比特,WEAK,0.05,长期竞争范式,FN_SI_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
