function_id,source_origin,cluster_key,cluster_name,function_type,function_name,physical_basis_or_mechanism,performance_metric,performance_value,performance_unit,performance_ref,trl,key_apps,demand_proxy,substitution_score,substitution_note,label
Fe_FP_01,ONTOLOGY,CL_O_Fe,铁（Fe）,STRUCTURAL,结构承载（钢）,BCC/FCC相变赋予强度-韧性可调窗口；3d轨道与C形成固溶强化,极限抗拉强度,2700.0,MPa,马氏体时效钢,9.0,"钢结构建筑, 汽车车身, 轨道交通, 船舶, 机械制造",全球钢铁年产约19亿吨（2024），占所有金属产量90%+,2,大宗应用中可部分替代但总量不降,FunctionPosition
Fe_FP_02,ONTOLOGY,CL_O_Fe,铁（Fe）,MAGNETIC,软磁（硅钢/铁芯）,3d⁶未配对电子产生铁磁性；硅添加提高磁导率并降低涡流损耗,最大磁导率,100000.0,μH/m,取向硅钢,9.0,"变压器铁芯, 电机定子/转子, 电感器",取向硅钢年产约1400万吨（变压器电机主力）,3,,FunctionPosition
Fe_FP_03,ONTOLOGY,CL_O_Fe,铁（Fe）,ELECTROCHEMICAL,LFP正极活性物质（Fe²⁺/Fe³⁺）,Fe²⁺/Fe³⁺氧化还原对提供3.2-3.4V电位窗口；磷酸根骨架赋予热稳定性,理论比容量,170.0,mAh/g,LiFePO4,9.0,"储能电池, 商用车电池, 入门级EV",LFP正极年产约200万吨（2024），仍高速增长,3,,FunctionPosition
Fe_FP_04,ONTOLOGY,CL_O_Fe,铁（Fe）,CATALYTIC,合成氨铁基催化剂,Fe表面对N₂的解离吸附活性；促进剂K₂O调控电子密度,转化率,25.0,%（单程）,Haber-Bosch标准工艺,9.0,"合成氨（全球年产2亿吨）, 化肥, 基础化工",合成氨催化剂市场依赖Fe，但Fe本身成本极低,4,,FunctionPosition
Al_FP_01,ONTOLOGY,CL_O_Al,铝（Al）,STRUCTURAL,轻量化结构（铝合金）,Al密度2.7g/cm³（约Fe的1/3）；6xxx/7xxx系通过Mg-Si/Zn-Mg-Cu沉淀强化,比强度（σ/ρ）,220.0,kN·m/kg,7075-T6,9.0,"航空机身（40%用铝）, 新能源车车身, 轨道交通, 建筑型材",全球Al年产约7000万吨（2024）,2,,FunctionPosition
Al_FP_02,ONTOLOGY,CL_O_Al,铝（Al）,CONDUCTING,电力传输（输电线/母线）,导电率37.7×10⁶ S/m（Cu的61%）；密度仅Cu的30%——输电线比强度优于Cu,导电率,37700000.0,S/m,纯铝（1350合金）,9.0,"高压输电线, 变电站母线, 汽车线束（低压）",电网用铝约占全球Al消费15%,2,,FunctionPosition
Al_FP_03,ONTOLOGY,CL_O_Al,铝（Al）,ELECTROCHEMICAL,正极集流体（铝箔）,Al在正极高电位（4V以上）下形成致密Al₂O₃钝化层，不溶解于电解液；Cu在此电位溶解,厚度极限（电解工艺）,8.0,μm,电池级铝箔,9.0,锂电池正极集流体（全部锂电池）,锂电铝箔年需求约80万吨，高速增长,5,,FunctionPosition
Al_FP_04,ONTOLOGY,CL_O_Al,铝（Al）,CHEMICAL_BASE,催化剂载体（氧化铝）,γ-Al₂O₃大比表面积（200-400 m²/g）+酸性位点；热稳定性高,BET比表面积,400.0,m²/g,γ-Al₂O₃,9.0,"石化催化剂载体, 汽车三效催化器涂层, 吸附剂",活性氧化铝年产约300万吨,2,,FunctionPosition
C_FP_01,ONTOLOGY,CL_O_C,碳（C）,STRUCTURAL,高比强度结构（碳纤维复材）,碳纤维sp²共价键C-C强度（7GPa理论）；与树脂复合形成各向异性强化体,比强度,3500.0,kN·m/kg,T1000级碳纤维,9.0,"航空机身（波音787含53% CFRP）, 风电叶片, 体育器材, 汽车车顶/B柱",全球碳纤维年产约20万吨（2024），供不应求,4,航空航天不可替代，成本敏感场景被其他方案分流,FunctionPosition
C_FP_02,ONTOLOGY,CL_O_C,碳（C）,ELECTROCHEMICAL,锂电负极（石墨）,石墨层间距0.335nm，Li⁺嵌入形成LiC₆；理论比容量372 mAh/g；稳定SEI膜,理论比容量,372.0,mAh/g,LiC₆,9.0,"锂电负极（全部液态锂电池）, 双电层电容器（活性炭）",负极石墨年产约200万吨（2024），主要在中国,3,,FunctionPosition
C_FP_03,ONTOLOGY,CL_O_C,碳（C）,SEMICONDUCTOR,SiC功率半导体（与Si共用）,SiC禁带宽度3.26eV；击穿电场10倍于Si；热导率3.7 W/cm·K（Si的2.5倍）,功率密度提升比（vs Si IGBT）,10.0,倍,SiC MOSFET,9.0,"EV主逆变器（800V平台）, 光伏逆变器, 铁路牵引变流器, 工业电源",SiC衬底年产约100万片（4/6英寸），仍供不应求,4,,FunctionPosition
C_FP_04,ONTOLOGY,CL_O_C,碳（C）,CHEMICAL_BASE,冶金还原剂（焦炭）,C与FeO在1500°C+反应：FeO+C→Fe+CO；高温稳定，比活性大,高炉焦炭置换比,0.5,t焦/t铁,现代高炉,9.0,"高炉炼铁（全球19亿吨钢的70%走高炉路线）, 电弧炉电极",冶金焦炭年产约7亿吨（全球最大C用途）,2,,FunctionPosition
H_FP_01,ONTOLOGY,CL_O_H,氢（H）,ENERGY_CARRIER,燃料电池动力（PEMFC）,H₂在Pt催化剂上氧化：H₂→2H⁺+2e⁻；理论效率83%（vs 热机40%）,理论能量密度,33.3,kWh/kg（H₂）,LHV,8.0,"重型燃料电池卡车, 铁路机车, 船舶辅助动力, 固定式备用电源",燃料电池车全球保有量约7万辆（2024），重卡渗透率提升中,2,应用场景决定替代弹性，重卡/航空阻力>乘用车,FunctionPosition
H_FP_02,ONTOLOGY,CL_O_H,氢（H）,CHEMICAL_BASE,化工合成原料（合成氨/甲醇/石化）,H₂是氮氢反应（N₂+3H₂→2NH₃）和CO₂加氢（CO₂+3H₂→CH₃OH+H₂O）的氢源,Haber-Bosch合成氨产率,20000000.0,t/年（全球）,2024年全球氨产量,9.0,"合成氨（化肥/炸药）, 甲醇合成, 石化加氢裂解, 炼油加氢精制",全球H₂年消费约9500万吨（95%来自化石燃料重整）,5,,FunctionPosition
H_FP_03,ONTOLOGY,CL_O_H,氢（H）,CHEMICAL_BASE,绿色钢铁还原剂,H₂直接还原铁矿石：Fe₂O₃+3H₂→2Fe+3H₂O；产物为水（零碳排放）,碳排放对比（kg CO₂/t钢）,0.0,（理论绿氢DRI）,vs传统高炉1800 kg,7.0,"绿色直接还原铁（DRI）, HYBRIT工艺（SSAB）, H2 Green Steel",绿色DRI 2024年商业化起点，2030年预计1000万吨/年,3,,FunctionPosition
Ti_FP_01,ONTOLOGY,CL_O_Ti_Zr_Hf,钛锆铪（Ti/Zr/Hf）,STRUCTURAL,高比强度耐蚀结构（钛合金）,Ti-6Al-4V双相（α+β）组织；比强度280 kN·m/kg；钛表面TiO₂钝化层化学稳定性极高,比强度,280.0,kN·m/kg,Ti-6Al-4V,9.0,"航空发动机压气机叶片/机身紧固件, 深海管道, 医疗植入体（髋膝关节）",全球海绵钛年产约35万吨，航空消费约50%,3,,FunctionPosition
Zr_FP_01,ONTOLOGY,CL_O_Ti_Zr_Hf,钛锆铪（Ti/Zr/Hf）,NUCLEAR,核燃料包壳（锆合金）,Zr热中子吸收截面仅0.18 barn（vs Fe的2.56）；在400°C水中腐蚀速率极低,热中子吸收截面,0.18,barn,Zr-4合金,9.0,所有水冷核反应堆燃料组件包壳,全球Zr年产约5万吨，核级Zr约1.5万吨（需无Hf杂质）,4,,FunctionPosition
Hf_FP_01,ONTOLOGY,CL_O_Ti_Zr_Hf,钛锆铪（Ti/Zr/Hf）,SEMICONDUCTOR,先进制程高k栅介质（HfO₂）,HfO₂相对介电常数ε=25（vs SiO₂的3.9）；量子隧穿截止厚度等效增厚6倍；允许5nm以下节点MOS器件工作,等效氧化物厚度（EOT）可实现最小值,0.5,nm,Intel先进制程规格,9.0,"所有5nm以下先进制程芯片（Intel/台积电/三星全部使用HfO₂）, FinFET/GAA结构",Hf年产约80吨（仅从Zr分离副产），全球需求高度集中,5,,FunctionPosition
Hf_FP_02,ONTOLOGY,CL_O_Ti_Zr_Hf,钛锆铪（Ti/Zr/Hf）,NUCLEAR,核反应堆控制棒,Hf热中子吸收截面102 barn；6个稳定同位素多级吸收，控制棒寿命长,热中子吸收截面,102.0,barn,天然Hf,9.0,"海军核反应堆（高功率密度要求Hf）, 部分商业堆控制棒",Hf年产约80吨，核用约20%,2,Hf控制棒主要用于高功率和需要长寿命的场合,FunctionPosition
W_FP_01,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,难熔/高性能合金元素（Cr/Mo/W/V/Nb/Ta）,HIGH_TEMP,最高熔点切削材料（硬质合金WC-Co）,W熔点3422°C（最高）；WC硬度9.5 Mohs；WC-Co复合材料：WC提供硬度，Co提供韧性,WC-Co硬度,1800.0,HV（维氏硬度）,YG6硬质合金,9.0,"全球90%金属切削刀片含WC-Co, 矿山钻头, 模具, 电子封装（Cu互连线钨柱塞）",全球W年产约8.5万吨，55%用于硬质合金,4,,FunctionPosition
Mo_FP_01,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,难熔/高性能合金元素（Cr/Mo/W/V/Nb/Ta）,HIGH_TEMP,镍基高温合金强化相（γ'稳定剂）,Mo在Ni基体中固溶，扩大γ'相稳定区；熔点2623°C；阻止蠕变位错移动,工作温度（涂层叶片）,1700.0,°C,最新单晶叶片,9.0,"航空发动机涡轮叶片（Ni基高温合金必含Mo）, 重型燃气轮机（电力）, 火箭发动机",全球Mo年产约30万吨，35%用于高温合金和特钢,4,,FunctionPosition
V_FP_01,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,难熔/高性能合金元素（Cr/Mo/W/V/Nb/Ta）,ELECTROCHEMICAL,全钒液流电池电解质,V²⁺/V³⁺（负极）和V⁴⁺/V⁵⁺（正极）四种价态在同一电解液中共存；无交叉污染；无限次循环寿命,循环寿命（次）,20000.0,次,全钒液流电池,8.0,"4-12小时长时储能（电网调峰）, 工业园区不间断电源",全钒液流电池年装机约200MWh（2024），增速>50%,3,,FunctionPosition
Nb_FP_01,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,难熔/高性能合金元素（Cr/Mo/W/V/Nb/Ta）,STRUCTURAL,HSLA钢微合金化（铌微合金）,Nb在钢中形成NbC/NbN纳米析出物，钉扎晶界细化晶粒；每增加0.03%Nb可提升强度100MPa,晶粒细化效果（每0.01%Nb）,20.0,MPa强度提升,X80管线钢,9.0,"输油/输气管线钢（X65-X100级）, 高强汽车钢（双相钢/TRIP钢）, 桥梁钢",全球Nb年产约9万吨，80%来自巴西（CBMM，全球最大Nb矿）,3,,FunctionPosition
Ta_FP_01,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,难熔/高性能合金元素（Cr/Mo/W/V/Nb/Ta）,SEMICONDUCTOR,钽电容器介质,Ta₂O₅高介电常数（ε=25）；阳极氧化形成致密Ta₂O₅薄膜；在极小体积内实现高容量,体积比电容（μF/mm³）,200.0,μF/mm³,高性能Ta电容,9.0,"手机/笔记本PMIC电源管理芯片周边电容, 航空军用电子设备（高可靠性）",全球Ta年产约2400吨，60%来自刚果金，65%用于电容器,3,,FunctionPosition
PGM_FP_01,ONTOLOGY,CL_O_PGM,铂族元素（Pt/Pd/Rh/Ru/Ir）,CATALYTIC,汽车三效催化（Pt/Pd/Rh）,Rh：NO→N₂还原（唯一有效催化剂）；Pd：CO/HC氧化；Pt：辅助+柴油DOC。三者协同完成三效转化,NOx转化效率,99.0,%,现代TWC催化器,9.0,所有内燃机汽车三效催化器（全球9亿辆存量）,汽车催化剂消耗Pt约80t/年；Pd约300t/年；Rh约35t/年（全球最大来源）,3,Rh无实质替代；EV渗透率是需求端颠覆力量,FunctionPosition
PGM_FP_02,ONTOLOGY,CL_O_PGM,铂族元素（Pt/Pd/Rh/Ru/Ir）,CATALYTIC,PEM燃料电池催化剂（Pt）,Pt纳米颗粒对O₂还原反应（ORR）催化活性最高；表面d带中心优化的氧结合能,Pt载量目标（DOE 2025）,0.1,mg/cm²,vs 2015年0.4mg/cm²,8.0,"燃料电池重卡/轿车（Toyota Mirai等）, 固定式备用电源, 轨道交通氢列车",PEMFC汽车增长带动Pt需求：每辆约30-50g，2030年预计100万辆/年,4,PEM燃料电池短期内Pt不可替代,FunctionPosition
PGM_FP_03,ONTOLOGY,CL_O_PGM,铂族元素（Pt/Pd/Rh/Ru/Ir）,CATALYTIC,PEM水电解OER催化剂（Ir/Ru）,Ir：最高活性+稳定性的OER（析氧反应）催化剂；Ru：活性更高但稳定性稍低,PEM电解槽效率,85.0,%（当前商业化）,NEL/ITM,8.0,"PEM绿氢电解槽（NEL/ITM/Plug Power）, 氯碱工业（Ir/Ru涂层DSA电极）",Ir全球年产约7吨，PEM电解槽每MW约1.5kg Ir；2030年GW级绿氢→Ir需求爆炸性增长,4,Ir是绿氢规模化的战略咽喉,FunctionPosition
Ag_FP_01,ONTOLOGY,CL_O_Ag_Au,银金（Ag/Au）,SEMICONDUCTOR,光伏银浆（正面细栅线）,银浆在烧结后形成电阻率1.6×10⁻⁸ Ω·m的Ag接触层；与n型硅欧姆接触烧结工艺精密,银浆电阻率接触电阻,1.5,mΩ·cm²,PERC/TOPCon电池,9.0,PERC/TOPCon太阳能电池（全部需要正面银栅线）,光伏行业消耗Ag约3500吨/年（2024），占全球Ag需求约12%,3,铜替代银是光伏行业确定趋势，预计2027-2030年大规模,FunctionPosition
Ag_FP_02,ONTOLOGY,CL_O_Ag_Au,银金（Ag/Au）,CONDUCTING,高可靠性电气接触（继电器/开关）,Ag接触电阻最低（1.59μΩ·cm电阻率，最低）；不氧化（vs Cu的氧化问题）；耐电弧腐蚀,接触电阻稳定性（百万次）,1000000.0,次切换,Ag-CdO（已限用）→AgSnO₂,9.0,"继电器触点, 断路器触头, 工业开关, 导电浆料（MLCC电极）",电气接触消耗Ag约5000吨/年,3,,FunctionPosition
Au_FP_01,ONTOLOGY,CL_O_Ag_Au,银金（Ag/Au）,SEMICONDUCTOR,芯片封装键合线（Au/Cu/Ag线）,Au键合线：延展性好；不氧化；键合时形成Au-Al金属间化合物（可靠性关键）,键合强度（剪切）,50.0,g（典型值）,25μm Au线,9.0,"航空/军用芯片封装, 高可靠性传感器, 化合物半导体（GaAs/InP）键合",Au键合线年消耗约50-100吨（大幅萎缩，已被Cu线替代80%）,2,Au线已被Cu线基本替代（成本驱动），仅高可靠性/军用保留Au,FunctionPosition
Au_FP_02,ONTOLOGY,CL_O_Ag_Au,银金（Ag/Au）,STRUCTURAL,价值储存/货币功能,Au化学惰性（标准电位+1.52V，不与空气/水反应）；稀缺性（地壳丰度0.003ppm）；分割性好,腐蚀率（海水中，20°C）,0.0,（不腐蚀）,999纯金,9.0,"央行黄金储备（全球约3.5万吨）, 珠宝（约2000吨/年）, 金融ETF",全球Au年开采约3500吨，总存量约20万吨,4,,FunctionPosition
P_FP_01,ONTOLOGY,CL_O_P_F,磷氟（P/F）,ELECTROCHEMICAL,电解液主盐（LiPF₆）,LiPF₆在碳酸酯溶剂中离子传导率~10 mS/cm；在正极高电位下形成稳定LiF钝化层（CEI）,离子传导率,10.0,mS/cm,1M LiPF₆ in EC/DMC,9.0,全部液态锂电池（动力/储能/消费）电解液,LiPF₆年产约17万吨（2024），中国产能占90%+,4,LiPF₆是当前液态锂电体系唯一主流盐，替代需整体切换,FunctionPosition
P_FP_02,ONTOLOGY,CL_O_P_F,磷氟（P/F）,CHEMICAL_BASE,磷矿→磷肥（不可替代生物功能）,磷是ATP（生物能量货币）和DNA骨架的不可替代组成；植物无法从其他元素获得磷,峰值磷产量预测（年）,2100.0,年（预测）,全球磷矿峰值研究,9.0,"磷酸二铵（DAP）/磷酸一铵化肥, 磷矿石直接利用",全球磷矿年开采约2.3亿吨，75%用于化肥；摩洛哥OCP控制全球70%磷矿储量,5,,FunctionPosition
F_FP_01,ONTOLOGY,CL_O_P_F,磷氟（P/F）,CHEMICAL_BASE,半导体清洗/刻蚀气体,HF腐蚀SiO₂（SiO₂+4HF→SiF₄+2H₂O）；NF₃/SF₆用于等离子刻蚀（高活性F自由基）；选择比精确可控,SiO₂刻蚀速率选择比（Si:SiO₂）,100.0,（BHF体系）,半导体清洗工艺,9.0,"所有硅基芯片制造的HF清洗/刻蚀步骤, CVD腔室清洁（NF₃）, 高k介质刻蚀",电子级HF年产约4万吨；NF₃约6万吨；全部由半导体供应链消耗,5,,FunctionPosition
F_FP_02,ONTOLOGY,CL_O_P_F,磷氟（P/F）,CHEMICAL_BASE,含氟聚合物（PTFE/PVDF耐腐蚀+锂电）,F-C键能485 kJ/mol（最强化学键之一）；PTFE摩擦系数0.04（最低）；PVDF压电/粘结性能,PTFE使用温度,260.0,°C（连续）,e-PTFE密封,9.0,"化工设备密封（PTFE）, 电池PVDF粘结剂, 半导体化学品输送管路, Gore-Tex",PVDF年产约14万吨，中国占65%；50%用于锂电,3,PFAS监管是重大战略风险信号,FunctionPosition
Zn_FP_01,ONTOLOGY,CL_O_Zn_Sn_Pb,锌锡铅（Zn/Sn/Pb）,STRUCTURAL,钢铁热镀锌防腐,Zn-Fe电偶腐蚀：Zn作为牺牲阳极保护Fe；锌层腐蚀速率1-2μm/年（温和环境）,镀锌层寿命（工业环境）,50.0,年（75μm镀层）,热镀锌,9.0,"建筑钢结构镀锌, 汽车车身钢板防腐, 输电铁塔, 桥梁栏杆",全球Zn年产约1400万吨，55%用于镀锌,2,,FunctionPosition
Sn_FP_01,ONTOLOGY,CL_O_Zn_Sn_Pb,锌锡铅（Zn/Sn/Pb）,SEMICONDUCTOR,无铅焊料（SAC体系）,Sn-Ag-Cu（SAC）合金熔点217°C；Sn基体保证润湿性；Ag₃Sn/Cu₆Sn₅金属间化合物强化,剪切强度（典型BGA焊点）,30.0,MPa,SAC305,9.0,"PCB表面贴装（SMT）焊接, BGA/CSP芯片封装, 功率器件焊接",全球Sn年产约40万吨，50%用于焊料（PCB制造核心材料）,3,,FunctionPosition
Pb_FP_01,ONTOLOGY,CL_O_Zn_Sn_Pb,锌锡铅（Zn/Sn/Pb）,ELECTROCHEMICAL,铅酸电池（12V车用+UPS）,Pb²⁺/PbSO₄（负极）和PbO₂/PbSO₄（正极）反应对；理论电压2V/单体；廉价且充分建立回收体系,比能量,40.0,Wh/kg,商业铅酸电池,9.0,"汽车启动电池（9亿辆存量）, UPS不间断电源, 通信基站备用电源, 叉车动力",全球Pb年消费约1200万吨，75%用于铅酸电池,2,监管+EV电气化架构升级是双重替代驱动力,FunctionPosition
Mg_FP_01,ONTOLOGY,CL_O_Mg_Ca,镁钙（Mg/Ca）,STRUCTURAL,极轻量化结构（镁合金）,Mg密度1.74g/cm³（金属中最轻之一）；AZ31/AZ91D镁合金比强度可达160 kN·m/kg,密度（纯Mg）,1.74,g/cm³（结构金属中最低）,AZ91D镁合金,9.0,"汽车座椅/方向盘/仪表盘支架（已大量应用）, 3C产品外壳（手机/笔记本）, 航空发动机辅助件",全球Mg合金年产约100万吨，汽车行业约40%,2,,FunctionPosition
