clock_id,source_origin,cluster_key,clock_type,reasoning,ntrigger_applicable,supply_t_yr,unit_g,trigger_units,current_units,ratio,conclusion,source_ref_id,external_source_url,evidence_type,evidence_detail,evidence_date,last_reviewed,confidence_score,confidence_band,freshness_penalty,impact_direction,time_sensitivity_level,impacted_scope,label
CLK_G_C09_MGCA,GRAPH,CL_G_C09_MGCA,CIVILIZATION,Mg/Ca资源丰富；当前产业成熟稳定；Mg电池是长期投资时钟（TRL3-4）,,,,,,,文明时钟：Mg/Ca无稀缺；Mg电池如果技术突破（2030+）将升级为投资时钟,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_G_C09_MGCA,StrategicClock
CLK_G_C10_AGAU,GRAPH,CL_G_C10_AGAU,INVESTMENT,光伏银浆需求随装机量增长（但低银化趋势压缩单瓦用量）；铜电极替代是5-10年内的结构性风险,,,,,,,Ag投资时钟：光伏装机拉动需求增长vs低银化技术替代，两个方向赛跑决定窗口长短；Au持续金融+高可靠电子双重属性,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_G_C10_AGAU,StrategicClock
CLK_G_C11_PGM,GRAPH,CL_G_C11_PGM,INVESTMENT,汽车催化需求逐渐被EV替代（Pd/Pt负面冲击）；绿氢PEM电解槽拉动Ir/Ru需求（强正冲击）,,,,,,,Ir已进入战术时钟（供需矛盾清晰可见）；Pd/Rh处于需求下行通道（EV替代）；差异化策略：增持Ir/Ru，审慎Pt/Pd,SRC_EXT_006,https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,GOV_REPORT,U.S. Department of Energy::DOE Clean Hydrogen Production Tax Credit (45V) Resources,2024-01-01,2026-03-16,0.84,MEDIUM_HIGH,0.1,MIXED,HIGH,CL_G_C11_PGM,StrategicClock
CLK_G_C12_ZNSNPB,GRAPH,CL_G_C12_ZNSNPB,CIVILIZATION,三种金属均属成熟工业材料；Pb受环保管制持续压缩应用边界；Zn液流电池是新兴但规模小,,,,,,,文明时钟整体；Pb监管收紧是不可逆趋势；Zn液流电池2025-2030年有局部投资时钟窗口,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_G_C12_ZNSNPB,StrategicClock
CLK_G_C13_SCLS,GRAPH,CL_G_C13_SCLS,CIVILIZATION,S/Cl均为大宗化工原料，无稀缺；Li-S电池是长期研究阶段，商业化仍远,,,,,,,文明时钟；关注长期：碳中和降低石化脱硫副产S→未来S可能趋紧；Li-S电池是10+年期的技术期权,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_G_C13_SCLS,StrategicClock
CLK_G_C14_UTHF,GRAPH,CL_G_C14_UTHF,INVESTMENT,全球核复兴（AI数据中心清洁电力需求+脱碳政策）推动铀需求上升；铀库存消耗阶段已过,,,,,,,U投资时钟：2025-2030年铀现货+长协价格将显著上涨；Th是15年+期权；关注浓缩能力（HALEU产能瓶颈）,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_G_C14_UTHF,StrategicClock
CLK_G_C15_REE,GRAPH,CL_G_C15_REE,TACTIC,中国稀土出口管制持续加强；美国DoD资助Lynas建设重稀土分离（德克萨斯）；人形机器人和直驱风电拉动Dy/Tb需求,,,,,,,Dy/Tb：战术时钟（已触发）+投资时钟（3-5年需求拐点）；Nd/Pr：投资时钟（3-7年）；La/Ce：文明时钟,SRC_EXT_004|SRC_EXT_009,https://www.mee.gov.cn/zcwj/gwywj/202407/t20240701_1080564.shtml | https://www.defense.gov/News/News-Stories/Article/Article/3700059/dod-looks-to-establish-mine-to-magnet-supply-chain-for-rare-earth-materials/,MULTI_SOURCE,State Council of the PRC / China Government::Rare Earth Management Regulations of China ; U.S. Department of Defense::DoD mine-to-magnet and Lynas award,2024-07-01,2026-03-16,0.92,HIGH,0.05,MIXED,HIGH,CL_G_C15_REE,StrategicClock
CLK_G_C16_GAGEIN,GRAPH,CL_G_C16_GAGEIN,TACTIC,2023年8月中国实施Ga/Ge出口管制；价格6个月内上涨60-80%；非中国替代产能建设至少3-5年,,,,,,,Ga/Ge/In：战术时钟全部触发（管制已实施）；替代供应链2027-2028年前难以替代中国产能；关注非中国Ga/Ge提炼产能建设,SRC_EXT_002|SRC_EXT_008|SRC_EXT_010,https://www.mofcom.gov.cn/zcfb/dwmygl/art/2023/art_52b9a321087f402bb3d310d18b07967e.html | https://www.nist.gov/chips/proposed-funding-sites | https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,MULTI_SOURCE,Ministry of Commerce of the PRC::MOFCOM announcement on gallium and germanium export controls ; U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs ; U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.97,HIGH,0.0,MIXED,HIGH,CL_G_C16_GAGEIN,StrategicClock
CLK_G_C17_LINA,GRAPH,CL_G_C17_LINA,INVESTMENT,固态电池TRL从4升至5-6；Li金属负极（固态）将使Li用量×2倍；当前Li价处于低位是布局窗口,,,,,,,Li：投资时钟（固态电池TRL拐点3-7年）；当前Li价低位是布局固态电池产业链的窗口期,SRC_EXT_007|SRC_EXT_011,https://eur-lex.europa.eu/EN/legal-content/summary/sustainability-rules-for-batteries-and-waste-batteries.html | https://www.energy.gov/articles/doe-releases-final-interpretive-guidance-definition-foreign-entity-concern,MULTI_SOURCE,EUR-Lex / European Union::EU Batteries Regulation summary ; U.S. Department of Energy::DOE FEOC interpretive guidance,2025-07-04,2026-03-16,0.94,HIGH,0.0,MIXED,HIGH,CL_G_C17_LINA,StrategicClock
CLK_G_C18_CU,GRAPH,CL_G_C18_CU,CIVILIZATION,Cu资源丰富，回收体系成熟；短期价格受AI数据中心需求超预期影响；中期无供应安全问题,,,,,,,文明时钟；AI数据中心在2025-2030年是Cu需求的超预期增长引擎；关注高端铜箔（锂电）和靶材（半导体）的工艺价值高地,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_G_C18_CU,StrategicClock
CLK_G_C19_NICOMN,GRAPH,CL_G_C19_NICOMN,INVESTMENT,Co降钴趋势持续推进（ESG驱动）；Ni高镍化是确定趋势；Mn通过LMFP开辟新市场,,,,,,,Ni：投资时钟（高镍化+固态电池双驱动）；Co：技术替代触发（降Co趋势不可逆）；Mn：投资时钟（LMFP新增量）,SRC_EXT_007|SRC_EXT_011,https://eur-lex.europa.eu/EN/legal-content/summary/sustainability-rules-for-batteries-and-waste-batteries.html | https://www.energy.gov/articles/doe-releases-final-interpretive-guidance-definition-foreign-entity-concern,MULTI_SOURCE,EUR-Lex / European Union::EU Batteries Regulation summary ; U.S. Department of Energy::DOE FEOC interpretive guidance,2025-07-04,2026-03-16,0.94,HIGH,0.0,MIXED,HIGH,CL_G_C19_NICOMN,StrategicClock
CLK_G_C20_SI,GRAPH,CL_G_C20_SI,CIVILIZATION,Si资源极丰富；多晶硅严重过剩（2024年产能/需求比=1.6）；约束完全在工艺精度和设备（EUV）,,,,,,,文明时钟（资源）；先进制程晶圆+EUV设备是战术-投资时钟交叉点（设备管制非材料稀缺）,SRC_EXT_008,https://www.nist.gov/chips/proposed-funding-sites,GOV_REPORT,U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.9,HIGH,0.05,MIXED,HIGH,CL_G_C20_SI,StrategicClock
CLK_O2_S_Cl,ONTOLOGY_SUPPLEMENT,CL_O_S_Cl,CIVILIZATION,V2.2 backfilled reasoning: S/Cl均为大宗化工原料，无稀缺；Li-S电池是长期研究阶段，商业化仍远,,,,,,,文明时钟；关注长期：碳中和降低石化脱硫副产S→未来S可能趋紧；Li-S电池是10+年期的技术期权,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY_SUPPLEMENT knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_O_S_Cl,StrategicClock
CLK_O2_U_Th,ONTOLOGY_SUPPLEMENT,CL_O_U_Th,INVESTMENT,V2.2 backfilled reasoning: 全球核复兴（AI数据中心清洁电力需求+脱碳政策）推动铀需求上升；铀库存消耗阶段已过,,,,,,,U投资时钟：2025-2030年铀现货+长协价格将显著上涨；Th是15年+期权；关注浓缩能力（HALEU产能瓶颈）,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY_SUPPLEMENT knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,U/Th;核燃料/核能,StrategicClock
CLK_O2_REE,ONTOLOGY_SUPPLEMENT,CL_O_REE,TACTIC,V2.2 backfilled reasoning: 中国稀土出口管制持续加强；美国DoD资助Lynas建设重稀土分离（德克萨斯）；人形机器人和直驱风电拉动Dy/Tb需求,,,,,,,Dy/Tb：战术时钟（已触发）+投资时钟（3-5年需求拐点）；Nd/Pr：投资时钟（3-7年）；La/Ce：文明时钟,SRC_EXT_004|SRC_EXT_009,https://www.mee.gov.cn/zcwj/gwywj/202407/t20240701_1080564.shtml | https://www.defense.gov/News/News-Stories/Article/Article/3700059/dod-looks-to-establish-mine-to-magnet-supply-chain-for-rare-earth-materials/,MULTI_SOURCE,State Council of the PRC / China Government::Rare Earth Management Regulations of China ; U.S. Department of Defense::DoD mine-to-magnet and Lynas award,2024-07-01,2026-03-16,0.92,HIGH,0.05,MIXED,HIGH,稀土;磁材;永磁电机;分离冶炼,StrategicClock
CLK_O2_Ga_Ge_In,ONTOLOGY_SUPPLEMENT,CL_O_Ga_Ge_In,TACTIC,V2.2 backfilled reasoning: 2023年8月中国实施Ga/Ge出口管制；价格6个月内上涨60-80%；非中国替代产能建设至少3-5年,,,,,,,Ga/Ge/In：战术时钟全部触发（管制已实施）；替代供应链2027-2028年前难以替代中国产能；关注非中国Ga/Ge提炼产能建设,SRC_EXT_002|SRC_EXT_008|SRC_EXT_010,https://www.mofcom.gov.cn/zcfb/dwmygl/art/2023/art_52b9a321087f402bb3d310d18b07967e.html | https://www.nist.gov/chips/proposed-funding-sites | https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,MULTI_SOURCE,Ministry of Commerce of the PRC::MOFCOM announcement on gallium and germanium export controls ; U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs ; U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.97,HIGH,0.0,MIXED,HIGH,Ga/Ge/In;GaN/GaAs;光电子;化合物半导体,StrategicClock
CLK_O2_Li_Na,ONTOLOGY_SUPPLEMENT,CL_O_Li_Na,INVESTMENT,V2.2 backfilled reasoning: 固态电池TRL从4升至5-6；Li金属负极（固态）将使Li用量×2倍；当前Li价处于低位是布局窗口,,,,,,,Li：投资时钟（固态电池TRL拐点3-7年）；当前Li价低位是布局固态电池产业链的窗口期,SRC_EXT_007|SRC_EXT_011,https://eur-lex.europa.eu/EN/legal-content/summary/sustainability-rules-for-batteries-and-waste-batteries.html | https://www.energy.gov/articles/doe-releases-final-interpretive-guidance-definition-foreign-entity-concern,MULTI_SOURCE,EUR-Lex / European Union::EU Batteries Regulation summary ; U.S. Department of Energy::DOE FEOC interpretive guidance,2025-07-04,2026-03-16,0.94,HIGH,0.0,MIXED,HIGH,Li/Na;电池与储能,StrategicClock
CLK_O2_Cu,ONTOLOGY_SUPPLEMENT,CL_O_Cu,CIVILIZATION,V2.2 backfilled reasoning: Cu资源丰富，回收体系成熟；短期价格受AI数据中心需求超预期影响；中期无供应安全问题,,,,,,,文明时钟；AI数据中心在2025-2030年是Cu需求的超预期增长引擎；关注高端铜箔（锂电）和靶材（半导体）的工艺价值高地,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY_SUPPLEMENT knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,CL_O_Cu,StrategicClock
CLK_O2_Ni_Co_Mn,ONTOLOGY_SUPPLEMENT,CL_O_Ni_Co_Mn,INVESTMENT,V2.2 backfilled reasoning: Co降钴趋势持续推进（ESG驱动）；Ni高镍化是确定趋势；Mn通过LMFP开辟新市场,,,,,,,Ni：投资时钟（高镍化+固态电池双驱动）；Co：技术替代触发（降Co趋势不可逆）；Mn：投资时钟（LMFP新增量）,SRC_EXT_007|SRC_EXT_011,https://eur-lex.europa.eu/EN/legal-content/summary/sustainability-rules-for-batteries-and-waste-batteries.html | https://www.energy.gov/articles/doe-releases-final-interpretive-guidance-definition-foreign-entity-concern,MULTI_SOURCE,EUR-Lex / European Union::EU Batteries Regulation summary ; U.S. Department of Energy::DOE FEOC interpretive guidance,2025-07-04,2026-03-16,0.94,HIGH,0.0,MIXED,HIGH,Ni/Co/Mn;三元正极与合金,StrategicClock
CLK_O2_Si,ONTOLOGY_SUPPLEMENT,CL_O_Si,CIVILIZATION,V2.2 backfilled reasoning: Si资源极丰富；多晶硅严重过剩（2024年产能/需求比=1.6）；约束完全在工艺精度和设备（EUV）,,,,,,,文明时钟（资源）；先进制程晶圆+EUV设备是战术-投资时钟交叉点（设备管制非材料稀缺）,SRC_EXT_008,https://www.nist.gov/chips/proposed-funding-sites,GOV_REPORT,U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.9,HIGH,0.05,MIXED,HIGH,Si;晶圆/芯片/光伏,StrategicClock
